City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
36,waitangi,-43.9535,-176.5597,282.53,59,97,14.0,NZ,1699579790
37,nova sintra,14.8667,-24.7167,295.56,66,100,2.97,CV,1699579791
38,severobaykal'sk,55.65,109.3167,260.1,60,2,2.03,RU,1699579791
39,sinop,41.7711,34.8709,282.28,85,94,1.28,TR,1699579791
40,hasaki,35.7333,140.8333,292.37,63,100,7.18,JP,1699579792
41,badger,64.8,-147.5333,269.25,90,100,1.54,US,1699579792
42,port alfred,-33.5906,26.891,289.5,85,0,2.52,ZA,1699579792
43,arraial do cabo,-22.9661,-42.0278,295.92,86,3,7.22,BR,1699579521
44,vanino,49.0869,140.2543,271.44,81,96,4.57,RU,1699579793
45,guarapari,-20.6667,-40.4975,296.98,78,0,4.39,BR,1699579793
46,sitka,57.0531,-135.33,280.09,81,100,3.6,US,1699579794
47,capitan bado,-23.2667,-55.5333,294.85,92,100,5.34,PY,1699579794
48,carnarvon,-24.8667,113.6333,294.83,61,58,10.27,AU,1699579795
49,morant bay,17.8815,-76.4093,302.94,84,8,5.48,JM,1699579795
50,baki,-7.6128,110.7839,302.25,61,100,4.78,ID,1699579796
51,salinopolis,-0.6136,-47.3561,300.39,79,63,5.72,BR,1699579796
52,hawaiian paradise park,19.5933,-154.9731,300.88,77,20,5.66,US,1699579797
53,sint michiel liber,12.15,-68.9833,302.05,79,20,5.66,CW,1699579797
54,puerto libertad,-25.9164,-54.6209,296.0,100,96,1.17,AR,1699579797
55,qaqortoq,60.7167,-46.0333,268.13,83,7,3.85,GL,1699579798
56,thompson,55.7435,-97.8558,262.24,79,20,2.06,CA,1699579798
57,kintampo,8.0563,-1.7306,296.59,87,74,1.89,GH,1699579798
58,smithers,54.7804,-127.1743,278.33,87,100,3.6,CA,1699579799
59,iqaluit,63.7506,-68.5145,267.0,79,100,4.63,CA,1699579799
60,west island,-12.1568,96.8225,300.14,83,100,7.2,CC,1699579799
61,port mathurin,-19.6833,63.4167,297.81,78,10,6.15,MU,1699579800
62,karatuzskoye,53.6072,92.8667,253.61,91,5,1.15,RU,1699579801
63,ezequiel montes,20.6667,-99.8833,292.68,42,95,2.44,MX,1699579802
64,omoku,5.3435,6.6532,296.96,97,100,1.21,NG,1699579803
65,longyearbyen,78.2186,15.6401,268.06,68,75,5.66,SJ,1699579803
66,quellon,-43.1167,-73.6167,280.78,90,7,2.33,CL,1699579804
67,enewetak,11.3474,162.3373,301.61,74,63,8.16,MH,1699579805
68,alpine,32.835,-116.7664,290.7,31,0,1.49,US,1699579807
69,charters towers,-20.1,146.2667,305.15,25,10,4.74,AU,1699579810
70,huarmey,-10.0681,-78.1522,292.33,86,20,3.39,PE,1699579810
71,okha,53.5739,142.9478,272.33,70,100,7.84,RU,1699579810
72,al kharijah,25.4514,30.5464,295.18,52,0,4.16,EG,1699579811
73,polyarnyy,69.1989,33.4478,269.33,85,100,8.58,RU,1699579811
74,kalix,65.853,23.1565,273.73,93,100,1.05,SE,1699579812
75,gizo,-8.103,156.8419,300.85,82,100,8.77,SB,1699579813
76,naze,28.3667,129.4833,294.66,75,67,6.33,JP,1699579813
77,zheleznodorozhnyy,55.7503,38.0042,278.49,82,70,0.89,RU,1699579814
78,el nido,11.1858,119.3956,302.84,70,3,4.62,PH,1699579814
79,yanaul,56.2719,54.9309,277.77,92,100,7.49,RU,1699579815
80,nemuro,43.3236,145.575,287.27,86,100,13.16,JP,1699579815
81,vorgashor,67.5833,63.95,269.74,96,99,5.32,RU,1699579816
82,kidal,18.4411,1.4078,297.29,18,58,3.92,ML,1699579816
83,georgetown,5.4112,100.3354,300.11,94,20,1.54,MY,1699579704
84,vodnyy,63.5046,53.4095,272.27,96,88,2.29,RU,1699579817
85,okahandja,-21.9833,16.9167,297.46,19,81,1.91,NA,1699579817
86,albany,42.6001,-73.9662,281.38,76,100,0.89,US,1699579610
87,iskateley,67.6803,53.1512,268.72,94,39,4.47,RU,1699579818
88,bandon,51.7469,-8.7425,281.92,75,94,11.91,IE,1699579819
89,tiksi,71.6872,128.8694,255.4,91,100,5.38,RU,1699579819
90,punta arenas,-53.15,-70.9167,282.21,53,40,5.14,CL,1699579820
91,haiku-pauwela,20.9219,-156.3051,301.62,56,20,10.8,US,1699579820
92,esperanza,19.5847,-70.9849,298.42,88,6,0.89,DO,1699579822
93,st. john's,47.5649,-52.7093,276.57,96,100,10.8,CA,1699579800
94,la asuncion,11.0333,-63.8628,300.75,82,10,7.1,VE,1699579823
95,constantia,44.1833,28.65,278.53,63,0,4.03,RO,1699579748
96,talnakh,69.4865,88.3972,267.71,81,100,9.36,RU,1699579825
97,codrington,-38.2667,141.9667,302.4,22,72,2.56,AU,1699579827
98,invercargill,-46.4,168.35,287.6,59,0,3.13,NZ,1699579827
99,whitehorse,60.7161,-135.0538,277.58,65,75,9.77,CA,1699579822
100,homer,59.6425,-151.5483,274.08,68,100,5.66,US,1699579828
101,kirov,58.5966,49.6601,278.48,93,100,2.24,RU,1699579829
102,vilyuchinsk,52.9306,158.4028,271.3,91,100,1.25,RU,1699579829
103,college,64.8569,-147.8028,269.3,92,100,1.54,US,1699579830
104,avarua,-21.2078,-159.775,299.18,78,20,4.12,CK,1699579830
105,isafjordur,66.0755,-23.124,273.94,78,35,1.96,IS,1699579830
106,kununurra,-15.7667,128.7333,304.14,66,6,2.57,AU,1699579683
